company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
FERRARI,SF90 STRADALE,sports,V8,hybrid,3990 cc,963.0,340.0,2.5,2.0,800.0,1485000.0,1100000.0
ROLLS ROYCE,PHANTOM,sedan,V12,gas,6749 cc,563.0,250.0,5.3,5.0,900.0,621000.0,460000.0
Ford,KA+,others,1.2L Petrol,gas,1200 cc,70.0,165.0,10.5,5.0,100.0,16200.0,12000.0
MERCEDES, GT 63 S,sports,V8,gas,3982 cc,630.0,250.0,3.2,4.0,900.0,217350.0,161000.0
AUDI,AUDI R8 Gt,sports,V10,gas,5204 cc,602.0,320.0,3.6,2.0,560.0,341941.5,253290.0
BMW,Mclaren 720s,sports,V8,gas,3994 cc,710.0,341.0,2.9,2.0,770.0,673650.0,499000.0
ASTON MARTIN,VANTAGE F1,sports,V8,gas,3982 cc,656.0,314.0,3.6,2.0,685.0,261144.0,193440.0
BENTLEY,Continental GT Azure,sports,V8,gas,3996 cc,550.0,318.0,4.0,4.0,900.0,419850.0,311000.0
LAMBORGHINI,VENENO ROADSTER,sports,V12,gas,6498 cc,750.0,356.0,2.9,2.0,690.0,6075000.0,4500000.0
FERRARI,F8 TRIBUTO,sports,V8,gas,3900 cc,710.0,340.0,2.9,2.0,770.0,378000.0,280000.0
FERRARI,812 GTS,sports,V12,gas,6496 cc,789.0,340.0,2.9,2.0,718.0,472500.0,350000.0
FERRARI,MONZA SP2,sports,V12,gas,6496 cc,789.0,340.0,2.9,2.0,719.0,2295000.0,1700000.0
FERRARI,F8 SPIDER,sports,V8,gas,3900 cc,710.0,340.0,2.9,2.0,770.0,378000.0,280000.0
TOYOTA,GR SUPRA,sports,I4,gas,2998 cc,382.0,250.0,4.1,2.0,500.0,72765.0,53900.0
TOYOTA,TOYOTA  GR86,sedan,BOXER-4,gas,2387 cc,228.0,226.0,5.6,4.0,250.0,40500.0,30000.0
TOYOTA,TOYOTA LAND CRUISER,suv,V8,gas,5663 cc,381.0,220.0,6.7,7.0,500.0,114750.0,85000.0
TOYOTA,TOYOTA SEQUOIA,suv,V8,gas,5663 cc,381.0,200.0,6.9,7.0,651.0,67500.0,50000.0
NISSAN,GT-R,sports,V6,gas,3799 cc,600.0,315.0,2.9,4.0,637.0,152550.0,113000.0
NISSAN,370Z,sports,V6,gas,3696 cc,332.0,250.0,4.7,2.0,366.0,40500.0,30000.0
NISSAN,Z PROTO,sports,V6,gas,2998 cc,400.0,290.0,4.1,2.0,475.0,54000.0,40000.0
NISSAN,ALTIMA,sedan,I4,gas,2488 cc,188.0,225.0,7.3,5.0,380.0,33750.0,25000.0
NISSAN,MAXIMA,sedan,V6,gas,3498 cc,300.0,240.0,5.8,5.0,354.0,47250.0,35000.0
NISSAN,SENTRA,sedan,I4,gas,1998 cc,149.0,200.0,8.2,5.0,240.0,27000.0,20000.0
NISSAN,ROGUE,sedan,I4,gas,2488 cc,201.0,200.0,7.5,5.0,270.0,37800.0,28000.0
NISSAN,PATHFINDER,suv,V6,gas,3498 cc,284.0,225.0,6.5,7.0,351.0,47250.0,35000.0
NISSAN,FRONTIER,sedan,V6,gas,3799 cc,310.0,180.0,6.8,5.0,381.0,40500.0,30000.0
NISSAN,TITAN,sedan,V8,gas,5598 cc,400.0,200.0,5.9,5.0,560.0,54000.0,40000.0
ASTON MARTIN,VALKYRIE,sports,V12,hybrid,6496 cc,1160.0,402.0,2.5,2.0,900.0,4320000.0,3200000.0
ASTON MARTIN,VALHALLA,sports,V8,hybrid,3996 cc,1000.0,362.0,2.5,2.0,1000.0,1485000.0,1100000.0
ASTON MARTIN,DBS SUPERLEGGERA,sports,V12,gas,5204 cc,715.0,340.0,3.4,2.0,900.0,426600.0,316000.0
ASTON MARTIN,DB11,sports,V12,gas,5204 cc,600.0,322.0,3.9,4.0,700.0,280800.0,208000.0
ASTON MARTIN,VANTAGE ,sports,V8,gas,3996 cc,503.0,313.0,3.6,2.0,685.0,191700.0,142000.0
ASTON MARTIN,DBX,sedan,V8,gas,3996 cc,542.0,291.0,4.5,5.0,700.0,255150.0,189000.0
ASTON MARTIN,RAPIDE AMR,sports,V12,gas,5935 cc,580.0,328.0,4.2,4.0,630.0,324000.0,240000.0
ASTON MARTIN,VANQUISH,sports,V12,gas,5935 cc,580.0,324.0,3.6,2.0,630.0,396900.0,294000.0
ASTON MARTIN,LAGONDA TARAF,sports,V12,gas,5935 cc,540.0,314.0,4.2,4.0,630.0,1485000.0,1100000.0
ASTON MARTIN,VICTOR,sports,V12,gas,5204 cc,836.0,320.0,2.8,2.0,821.0,1755000.0,1300000.0
LAMBORGHINI,SIAN,sports,V12,hybrid,6498 cc,819.0,350.0,2.8,2.0,720.0,3780000.0,2800000.0
LAMBORGHINI,AVENTADOR SVJ,sports,V12,gas,6498 cc,759.0,350.0,2.8,2.0,720.0,699300.0,518000.0
LAMBORGHINI,HURACAN PERFORMANTE,sports,V10,gas,5204 cc,640.0,325.0,2.9,2.0,600.0,369900.0,274000.0
LAMBORGHINI,HURACAN EVO,sports,V10,gas,5204 cc,640.0,325.0,2.9,2.0,600.0,352350.0,261000.0
LAMBORGHINI,AVENTADOR SV,sports,V12,gas,6498 cc,740.0,350.0,2.8,2.0,690.0,665550.0,493000.0
LAMBORGHINI,URUS ,sports,V8,gas,3996 cc,641.0,305.0,3.6,5.0,850.0,284850.0,211000.0
